Aktion,Anzahl,Avg,Max
50-50,110,,
backheel,365,1.1,4.1
badBehavior,153,,
block,4983,0.0,1.9
card,709,,
collected,374,,
corner,1342,1.7,7.4
cross,3027,1.6,7.5
deflected,357,0.7,4.7
dribbled,3824,0.0,1.4
finalWhistle,306,,
footShot,2359,0.9,5.6
foul,3660,0.0,1.1
freeKick,2974,1.9,9.7
goal,542,,
goalKick,1231,3.1,14.3
handball,164,,
headerShot,462,1.0,3.0
injury,334,0.0,2.9
interception,2058,0.0,2.7
kickOff,468,1.1,5.4
nutmeg,151,,
offside,71,0.0,0.8
overrun,50,0.1,1.3
penaltyKick,39,0.7,2.2
punch,138,,
refereeBallDrop,31,,
save,1041,,
shield,129,,
substitution,837,0.0,6.7
throughBall,1130,2.0,8.5
throwIn,4102,1.5,11.4
