Modell,                 Parameter,  Jahr,   Input size,    UCF-101,             HMDB-51,    Sports1M [], Kinetics,Framerate

Slow Fusion \cite{Ng15},            N/A,        2014,   10 x 89 x 89,   65.4,               N/A,        41.9 / 60.9,    N/A,
LRCN (BN-IncV1) \cite{Carreira17}, (9M), 2017, 25 x 227 x 227, 81.0,       36.0,       N/A,                        63.3,
ActionVLAD (VGG-16),    N/A,        2016,   25 x 224 x 224, N/A,                49.8,       N/A,                        N/A,
C3D + SVM \cite{Zhu17},              79M (321MB),2014,   16 x 112 x 112, 82.3,               49.7, 46.1 / 61.1,         67.4 (VMZ),1
LTC,                    N/A,        2016,   100 x 71 x 71,  82.4,               N/A,        N/A,                        N/A,1
3D Fusion (IncV1) \cite{Carreira17}, 39M, 2017, 50 x 224 x 224, 83.2,           49.2,       N/A,                        N/A,
P3D (ResNet-50),        (98MB),     2017,   16 x 160 x 160, 84.2,               N/A,        N/A,                        N/A,
FstCN,                  N/A,        2015,   30 x 204 x 204, 88.1,               59.1,       N/A,                        N/A,
P3D (ResNet-152),       (261MB),    2017,   16 x 160 x 160, 88.6,               N/A,        47.9 / 66.4,                N/A,
Hidden 2 Stream (VGG-M),N/A,        2017,   16 x 224 x 224, 90.3,               60.5,       N/A,                        N/A,
T3D (DenseNet-32) + TSN,N/A,        2018,   32 x 224 x 224, 93.2,               63.5,       N/A,                        62.2,2
ip-CSN-50,              14.3M,      2019,   32 x 224 x 224, N/A,                N/A,        N/A,                        70.8,
Hidden 2 Stream (BN-Inc) + TSN, N/A,2017,   48 x 224 x 224, 93.2,               66.8,       N/A,                        N/A,
Conv Pooling (GoogLe Net), N/A,     2015,   30 x 220 x 220, N/A,                N/A,        - / 71.7,                   N/A,4-5
Conv+LSTM (GoogLe Net), N/A,        2015,   30 x 220 x 220, N/A,                N/A,        - / 72.1,                   N/A,
I3D (IncV1),            25M,        2017,   64 x 224 x 224, 95.6,               74.8,       N/A,                        71.1,1
ip-CSN-101,             24.5M,      2019,   32 x 224 x 224, N/A,                N/A,        - / 74.9,                   71.8,
R2+1D (ResNet-18),      33.3M,      2018,   32 x 112 x 112, N/A,                N/A,        57.0 / 73.0,                56.8,1
R2+1D (ResNet-34),      63.6M,      2018,   32 x 112 x 112, 96.8,               74.5,       N/A,                        74.3,1
FASTER-32,              N/A,        2018,   32 x 224 x 224, 96.9,               75.7,       N/A,                        75.3,
Hidden 2 Stream I3D,    N/A,        2017,   64 x 224 x 224, 97.1,               78.7,       N/A,                        N/A,
X3D-M,                  3.8M,       2020,   16 x 224 x 224, N/A,                N/A,        N/A,                        76.0,5
NL-I3D-50,              N/A,        2018,   64 x 224 x 224, N/A,                N/A,        N/A,                        76.5,
SlowFast 8×8 R50,       32.9M,      2018,   32 x 224 x 224, N/A,                N/A,        N/A,                        77.0,2
NL-I3D-101,             N/A,        2018,   64 x 224 x 224, N/A,                N/A,        N/A,                        77.7,
ip-CSN-152,             32.8M,      2019,   32 x 224 x 224, N/A,                N/A,        - /75.5,                    77.8,2
X3D-XL,                 11M,        2020,   16 × 312 × 312, N/A,                N/A,        N/A,                        79.1,5
SlowFast 16×8 R101+NL,  59.9M,      2018,   32 x 224 x 224, N/A,                N/A,        N/A,79.8,2
